User ID,Device Model,Operating System,App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class
56.0,,iOS,68.0,1.6,450.0,14,111,30.0,Male,1
57.0,,Android,64.0,1.1,572.0,10,161,42.0,Female,1
,OnePlus 9,Android,539.0,8.4,2796.0,89,2415,26.0,Male,5
59.0,Xiaomi Mi 11,Android,428.0,7.0,2306.0,75,1144,22.0,Male,4
60.0,iPhone 12,iOS,325.0,7.1,2269.0,64,1053,56.0,Male,4
61.0,Xiaomi Mi 11,Android,522.0,11.9,2798.0,85,1663,28.0,Female,5
62.0,Xiaomi Mi 11,Android,309.0,7.5,2292.0,77,1253,57.0,Female,4
63.0,Xiaomi Mi 11,Android,79.0,1.9,493.0,14,128,55.0,Male,1
64.0,Xiaomi Mi 11,Android,545.0,11.5,2911.0,87,1717,21.0,Female,5
,Samsung Galaxy S21,Android,459.0,7.0,1982.0,67,1091,43.0,Male,4
66.0,iPhone 12,iOS,225.0,4.0,1420.0,48,917,56.0,Male,3
67.0,iPhone 12,iOS,257.0,4.5,1705.0,57,912,55.0,Male,3
68.0,Xiaomi Mi 11,Android,134.0,4.0,773.0,35,449,28.0,Female,2
69.0,iPhone 12,iOS,,10.2,2932.0,98,1547,31.0,Male,5
,Google Pixel 5,Android,82.0,1.7,558.0,16,284,29.0,Female,1
71.0,Samsung Galaxy S21,Android,452.0,7.2,1808.0,64,1090,45.0, Male,4
72.0,iPhone 12,iOS,521.0,9.0,2902.0,97,1701,37.0, Male,5
73.0,Google Pixel 5,,457.0,6.3,2347.0,66,1082,1716.0, Male,4
74.0,Xiaomi Mi 11,Android,31.0,1.1,585.0,11,208,50.0, Male,1
75.0,iPhone 12,iOS,47.0,2.0,476.0,14,125,39.0, Male,1
76.0,Xiaomi Mi 11,Android,229.0,5.7,1305.0,43,985,23.0, Male,3
77.0,Xiaomi Mi 11,Android,34.0,2.0,558.0,14,122,54.0, Male,1
78.0,Google Pixel 5,,173.0,2.5,678.0,29,301,30.0, Male,2
79.0,Samsung Galaxy S21,Android,78.0,1.8,333.0,17,138,51.0, Male,1
80.0,Google Pixel 5,Android,230.0,5.7,1254.0,52,989,34.0, Male,3
81.0,OnePlus 9,Android,565.0,,2475.0,99,1603,51.0, Male,5
82.0,iPhone 12,iOS,172.0,2.8,1035.0,22,549,41.0, Male,2
83.0,Xiaomi Mi 11,Android,330.0,7.2,2363.0,77,1133,21.0, Male,4
84.0,Xiaomi Mi 11,Android,39.0,1.8,368.0,11,105,19.0, Male,1
85.0,Google Pixel 5,Android,223.0,4.5,1311.0,56,695,33.0, Male,3
86.0,Google Pixel 5,Android,404.0,,2081.0,63,1352,44.0, Male,4
87.0,Samsung Galaxy S21,Android,151.0,2.4,1003.0,25,392,39.0, Male,2
88.0,Samsung Galaxy S21,Android,34.0,1.5,345.0,11,276,44.0, Male,1
89.0,Xiaomi Mi 11,,137.0,3.3,839.0,31,348,34.0, Male,2
90.0,Samsung Galaxy S21,Android,301.0,6.2,2053.0,75,1303,45.0, Male,4
91.0,Google Pixel 5,Android,116.0,2.1,912.0,39,307,3120.0, Male,2
92.0,Google Pixel 5,Android,291.0,4.1,1474.0,46,827,32.0, Male,3
93.0,iPhone 12,iOS,84.0,1.4,501.0,16,284,56.0, Male,1
94.0,iPhone 12,iOS,134.0,2.5,1125.0,24,367,35.0, Male,2
95.0,Samsung Galaxy S21,Android,411.0,7.5,2169.0,72,1083,58.0, Male,4
96.0,Xiaomi Mi 11,Android,326.0,7.2,2243.0,73,1454,50.0, Male,4
97.0,iPhone 12,iOS,550.0,9.5,2916.0,91,1946,20.0, Male,5
98.0,OnePlus 9,Android,516.0,12.0,2406.0,82,1968,28.0, Male,5
99.0,Google Pixel 5,Android,,1.2,361.0,18,293,25.0, Male,1
100.0,OnePlus 9,Android,225.0,5.5,1526.0,44,875,50.0, Male,3
101.0,Google Pixel 5,Android,41.0,,389.0,15,136,53.0, Male,1
102.0,OnePlus 9,Android,183.0,4.1,1210.0,45,738,19.0,Male,3
103.0,,Android,174.0,2.5,929.0,37,565,32.0,Female,2
104.0,Xiaomi Mi 11,Android,274.0,4.2,1781.0,52,934,28.0,Male,3
105.0,Xiaomi Mi 11,Android,166.0,2.8,1113.0,28,360,25.0,Male,2
106.0,Xiaomi Mi 11,Android,66.0,1.2,585.0,12,264,36.0,Male,1
107.0,Google Pixel 5,Android,152.0,2.7,642.0,38,596,55.0,Male,2
108.0,Google Pixel 5,Android,54.0,1.4,403.0,17,278,23.0,Female,1
109.0,Xiaomi Mi 11,Android,187.0,5.5,1754.0,55,711,50.0,Female,3
110.0,OnePlus 9,Android,216.0,6.0,1641.0,41,889,39.0,Female,3
111.0,OnePlus 9,Android,95.0,3.8,718.0,26,459,41.0,Female,2
112.0,Xiaomi Mi 11,Android,488.0,8.6,2447.0,84,2344,19.0,Male,5
113.0,Google Pixel 5,Android,295.0,5.1,1483.0,45,748,27.0,Female,3
114.0,Samsung Galaxy S21,Android,136.0,3.2,818.0,33,404,42.0,Male,2
115.0,Xiaomi Mi 11,Android,471.0,7.9,2156.0,76,1324,54.0,Female,4
116.0,iPhone 12,iOS,121.0,3.2,651.0,34,596,39.0,Male,2
117.0,,iOS,1575.0,1.2,409.0,13,281,18.0,Male,1
118.0,iPhone 12,iOS,220.0,5.2,1631.0,49,909,27.0,Female,3
119.0,Samsung Galaxy S21,Android,82.0,1.6,590.0,13,124,28.0,Female,1
120.0,Google Pixel 5,Android,97.0,72.9,1018.0,37,428,41.0,Male,2
121.0,Samsung Galaxy S21,Android,388.0,6.6,2085.0,71,1150,45.0,female ,4
122.0,OnePlus 9,Android,11109.0,,2484.0,89,2189,39.0,female ,5
123.0,Google Pixel 5,Android,584.0,10.0,2541.0,99,2391,49.0,female ,5
124.0,Google Pixel 5,Android,529.0,8.1,2686.0,96,1924,35.0,female ,5
125.0,Google Pixel 5,Android,227.0,5.1,1702.0,57,714,21.0,female ,3
126.0,Samsung Galaxy S21,Android,535.0,11.8,2858.0,99,2378,50.0,female ,5
127.0,iPhone 12,iOS,332.0,7.4,2149.0,68,1321,20.0,female ,4
128.0,Google Pixel 5,Android,252.0,4.2,1439.0,45,667,50.0,female ,3
5934.0,Xiaomi Mi 11,Android,125.0,2.5,678.0,34,465,31.0,female ,2
130.0,Xiaomi Mi 11,Android,97.0,3.3,751.0,39,412,36.0,female ,2
131.0,,Android,540.0,10.8,2923.0,90,1886,40.0,female ,5
132.0,Xiaomi Mi 11,Android,320.0,,2056.0,69,1226,52.0,female ,4
133.0,Google Pixel 5,Android,176.0,3.6,1193.0,30,458,40.0,female ,2
134.0,Samsung Galaxy S21,Android,79.0,1.0,313.0,18,139,42.0,female ,1
135.0,Xiaomi Mi 11,Android,83.0,1.6,303.0,19,285,51.0,female ,1
136.0,iPhone 12,iOS,555.0,11.3,2528.0,90,1856,55.0,female ,5
137.0,Samsung Galaxy S21,Android,66.0,1.7,375.0,16,216,39.0,female ,1
138.0,Xiaomi Mi 11,Android,237.0,4.5,1368.0,42,868,24.0,female ,3
139.0,,Android,497.0,9.7,2876.0,94,2076,18.0,female ,5
140.0,Google Pixel 5,Android,516.0,11.1,2429.0,91,1796,53.0,female ,5
141.0,Xiaomi Mi 11,Android,219.0,5.2,117780.0,42,655,50.0,female ,3
142.0,Google Pixel 5,Android,448.0,6.3,2044.0,71,1337,51.0,female ,4
143.0,iPhone 12,iOS,156.0,2.2,896.0,37,429,57.0,female ,2
144.0,Samsung Galaxy S21,Android,68.0,1.1,528.0,12,201,29.0,female ,1
145.0,iPhone 12,iOS,524.0,11.2,2417.0,90,2069,29.0,female ,5
146.0,iPhone 12,iOS,188.0,5.3,1281.0,45,974,35.0,female ,3
147.0,Samsung Galaxy S21,Android,443.0,7.4,2289.0,73,1026,33.0,female ,4
148.0,Xiaomi Mi 11,Android,52.0,1.6,385.0,19,234,24.0,female ,1
149.0,OnePlus 9,Android,228.0,4.2,1677.0,58,823,56.0,female ,3
150.0,Google Pixel 5,Android,149.0,3.7,873.0,34,459,51.0,female ,2
,iPhone 12,iOS,523.0,9.4,2583.0,92,1539,21.0,female ,5
152.0,Samsung Galaxy S21,Android,42.0,,315.0,19,207,52.0,Female,1
153.0,Google Pixel 5,Android,120.0,2.0,741.0,38,396,56.0,Female,2
154.0,OnePlus 9,Android,329.0,7.5,2277.0,72,1185,27.0,Female,4
155.0,Xiaomi Mi 11,Android,68.0,1.5,364.0,10,102,31.0,Female,1
156.0,Xiaomi Mi 11,Android,158.0,,893.0,36,493,32.0,Male,2
157.0,Xiaomi Mi 11,Android,86.0,1.7,439.0,19,136,54.0,Male,1
158.0,Xiaomi Mi 11,Android,339.0,7.8,2102.0,71,1062,51.0,Male,4
159.0,Samsung Galaxy S21,Android,304.0,6.5,2375.0,79,1493,51.0,Male,4
,Xiaomi Mi 11,Android,131.0,2.4,859.0,26,305,40.0,Male,2
161.0,Samsung Galaxy S21,Android,64.0,,540.0,19,262,35.0,Female,1
162.0,Xiaomi Mi 11,Android,53.0,1.9,526.0,15,112,42.0,Male,1
163.0,Google Pixel 5,Android,442.0,7.7,2067.0,69,1440,45.0,Male,4
164.0,iPhone 12,iOS,32.0,2.0,469.0,18,139,22.0,Male,1
165.0,Xiaomi Mi 11,Android,278.0,4.8,1238.0,48,851,43.0,Female,3
166.0,Xiaomi Mi 11,Android,540.0,8.4,2993.0,98,1540,49.0,Female,5
,Google Pixel 5,Android,595.0,11.3,2968.0,88,2366,30.0,Male,5
168.0,Google Pixel 5,Android,35.0,1.5,467.0,10,158,58.0,Male,1
169.0,Google Pixel 5,Android,225.0,5.4,1370.0,44,791,55.0,Female,3
170.0,Google Pixel 5,Android,587.0,11.8,2431.0,90,1894,47.0,Male,5
171.0,Xiaomi Mi 11,Android,92.0,3.7,1124.0,27,524,44.0,Male,2
172.0,Google Pixel 5,Android,46.0,1.1,487.0,17,208,23.0,Male,1
173.0,OnePlus 9,Android,,2.8,72930.0,25,578,37.0,Female,2
174.0,iPhone 12,iOS,368.0,6.6,1817.0,72,1406,27.0,Female,4
175.0,Xiaomi Mi 11,Android,51.0,1.6,509.0,11,113,29.0,Female,1
176.0,Google Pixel 5,Android,279.0,5.2,1660.0,47,629,50.0,Female,3
177.0,,Android,,5.4,1738.0,42,826,21.0,Male,3
178.0,Samsung Galaxy S21,Android,193.0,5.7,1471.0,51,972,31.0,Female,3
179.0,Xiaomi Mi 11,Android,207.0,5.7,1582.0,52,692,38.0,Male,3
180.0,iPhone 12,iOS,539.0,11.9,2853.0,83,2007,55.0,Male,5
181.0,OnePlus 9,Android,151.0,2.4,1124.0,38,571,33.0,Male,2
182.0,Google Pixel 5,,474.0,6.4,2109.0,68,1079,24.0,Male,4
183.0,iPhone 12,iOS,544.0,9.2,2936.0,83,2416,47.0,Female,5
184.0,iPhone 12,iOS,73.0,1.2,308.0,15,275,39.0,Female,1
185.0,Xiaomi Mi 11,Android,597.0,10.4,2984.0,91,1564,34.0,Female,5
186.0,Google Pixel 5,Android,498.0,10.7,2738.0,94,1995,42.0,Male,5
187.0,iPhone 12,iOS,402.0,7.8,2014.0,79,1088,34.0,Female,4
188.0,OnePlus 9,Android,75.0,1.1,379.0,15,185,37.0,Male,1
189.0,iPhone 12,,130.0,2.0,602.0,21,589,30.0,Female,2
190.0,Samsung Galaxy S21,Android,42.0,1.1,402.0,11,265,32.0,Female,1
191.0,iPhone 12,iOS,134.0,2.2,917.0,23,423,23.0,Male,2
192.0,Google Pixel 5,Android,79.0,1.9,477.0,13,161,24.0,Male,1
193.0,iPhone 12,iOS,432.0,7.2,1822.0,63,1127,59.0,Female,4
194.0,,iOS,262.0,4.1,1287.0,52,997,36.0,Male,3
195.0,Samsung Galaxy S21,Android,473.0,6.4,2109.0,79,1300,23.0,Female,4
196.0,Google Pixel 5,Android,202.0,4.7,1512.0,49,659,45.0,Female,3
197.0,OnePlus 9,Android,215.0,4.4,1407.0,41,991,47.0,Male,3
198.0,OnePlus 9,Android,151.0,3.7,1116.0,32,320,41.0,Female,2
199.0,OnePlus 9,Android,80.0,1.6,549.0,14,197,19.0,Male,1
200.0,Xiaomi Mi 11,Android,126.0,2.8,971.0,32,431,35.0,Female,2
201.0,Samsung Galaxy S21,Android,495.0,8.9,2920.0,84,2252,31.0,Female,5
202.0,iPhone 12,iOS,127.0,3.7,1153.0,35,314,37.0,Female,2
203.0,Xiaomi Mi 11,Android,88.0,1.3,327.0,11,262,22.0,Male,1
204.0,Google Pixel 5,Android,69.0,1.6,463.0,16,146,27.0,Male,1
205.0,OnePlus 9,Android,100.0,3.3,961.0,21,433,25.0,Male,2
206.0,Xiaomi Mi 11,Android,301.0,,2084.0,71,1421,29.0,Male,4
207.0,Google Pixel 5,Android,78.0,1.7,455.0,15,207,2886.0,Female,1
208.0,Google Pixel 5,Android,163.0,3.1,620.0,945,419,23.0,Male,2
209.0,OnePlus 9,Android,539.0,9.3,2606.0,92,1990,41.0,Male,5
210.0,Google Pixel 5,Android,278.0,4.6,1385.0,47,823,40.0,Female,3
211.0,Samsung Galaxy S21,Android,451.0,6.1,2108.0,76,1434,25.0,Female,4
212.0,Samsung Galaxy S21,Android,481.0,10.9,2752.0,86,2017,18.0,Male,5
213.0,Samsung Galaxy S21,Android,133.0,3.4,714.0,38,445,25.0,Male,2
214.0,Xiaomi Mi 11,Android,,1.1,588.0,10,246,22.0,Male,1
215.0,iPhone 12,,152.0,3.3,1175.0,29,461,42.0,Female,2
216.0,OnePlus 9,,553.0,8.4,2559.0,89,2471,51.0,Male,5
217.0,iPhone 12,iOS,402.0,6.9,2282.0,78,1397,40.0,Male,4
218.0,OnePlus 9,Android,555.0,9.5,2855.0,95,1565,24.0,Male,5
219.0,,iOS,499.0,9.6,2873.0,81,1805,52.0,Female,5
220.0,Xiaomi Mi 11,Android,101.0,,603.0,28,417,43.0,Male,2
221.0,OnePlus 9,Android,433.0,6.8,2093.0,75,1300,32.0,Male,4
222.0,OnePlus 9,Android,133.0,2.0,1007.0,31,417,32.0,Male,2
223.0,Xiaomi Mi 11,Android,351.0,6.1,1941.0,79,1290,21.0,Female,4
224.0,Samsung Galaxy S21,Android,532.0,10.7,2556.0,83,2148,53.0,Female,5
225.0,OnePlus 9,Android,92.0,2.5,690.0,31,563,27.0,Male,2
226.0,Xiaomi Mi 11,Android,511.0,10.8,2712.0,97,2438,59.0,Female,5
227.0,Xiaomi Mi 11,Android,384.0,,2185.0,72,1376,59.0,Male,4
228.0,iPhone 12,iOS,193.0,5.2,1318.0,49,626,32.0,Female,3
229.0,Samsung Galaxy S21,Android,132.0,3.8,649.0,25,368,41.0,Male,2
230.0,Samsung Galaxy S21,Android,360.0,7.3,1946.0,79,1164,50.0,Male,4
231.0,iPhone 12,iOS,159.0,2.3,1083.0,32,526,38.0,Male,2
232.0,,iOS,495.0,8.9,2855.0,91,2150,31.0,Male,5
233.0,Xiaomi Mi 11,Android,537.0,10.0,2720.0,83,1763,35.0,Male,5
234.0,OnePlus 9,Android,129.0,3.4,1059.0,27,580,36.0,Female,2
235.0,iPhone 12,iOS,,,636.0,28,529,53.0,Male,2
236.0,Xiaomi Mi 11,Android,37.0,1.4,369.0,18,295,19.0,Female,1
237.0,Samsung Galaxy S21,Android,,8.9,2549.0,88,1730,20.0,Female,5
238.0,OnePlus 9,Android,425.0,6.9,2142.0,66,1130,19.0,Female,4
239.0,OnePlus 9,Android,64.0,1.7,585.0,13,107,53.0,Male,1
240.0,iPhone 12,iOS,573.0,10.8,2711.0,96,2118,33.0,Female,5
241.0,Google Pixel 5,Android,45.0,1.7,302.0,16,191,57.0,Female,1
242.0,Xiaomi Mi 11,Android,564.0,11.7,2764.0,81,2133,37.0,Female,5
243.0,OnePlus 9,Android,162.0,3.5,761.0,1620,338,51.0,Male,2
244.0,Samsung Galaxy S21,Android,451.0,6.5,2378.0,69,1341,44.0,Male,4
245.0,OnePlus 9,Android,30.0,1.3,479.0,16,253,35.0,Male,1
246.0,Samsung Galaxy S21,Android,4242.0,5.0,1542.0,45,844,29.0,Male,3
247.0,Google Pixel 5,Android,71.0,1.5,590.0,17,257,33.0,Male,1
248.0,Google Pixel 5,Android,314.0,6.2,2205.0,63,1066,19.0,Male,4
249.0,Xiaomi Mi 11,Android,168.0,4.0,866.0,22,581,50.0,Female,2
250.0,Google Pixel 5,Android,75.0,1.9,537.0,13,230,58.0,Female,1
251.0,OnePlus 9,Android,42.0,37.8,324.0,13,272,29.0,Female,1
252.0,OnePlus 9,Android,441.0,7.9,2332.0,78,1477,23.0,Female,4
253.0,Google Pixel 5,Android,523.0,10.5,2460.0,99,1787,22.0,Male,5
254.0,Xiaomi Mi 11,Android,,2.4,982.0,31,478,48.0,Female,2
255.0,OnePlus 9,Android,52.0,1.2,398.0,14,172,24.0,Female,1
256.0,OnePlus 9,Android,397.0,7.0,2352.0,77,1101,46.0,Female,4
257.0,Xiaomi Mi 11,Android,424.0,7.7,1863.0,65,1116,52.0,Male,4
258.0,Xiaomi Mi 11,Android,272.0,5.0,1655.0,45,686,19.0,Female,3
259.0,Xiaomi Mi 11,Android,201.0,4.0,1791.0,50,914,18.0,Male,3
260.0,Xiaomi Mi 11,Android,570.0,9.0,2613.0,98,2497,49.0,Female,5
261.0,Xiaomi Mi 11,Android,64.0,1.3,490.0,14,151,43.0,Female,1
262.0,iPhone 12,iOS,334.0,6.6,2394.0,68,1227,46.0,Female,4
263.0,iPhone 12,,518.0,9.6,2954.0,93,2125,34.0,Female,5
264.0,Samsung Galaxy S21,Android,70.0,1.7,359.0,10,109,57.0,Male,1
265.0,,iOS,334.0,6.8,2000.0,77,1079,40.0,Female,4
266.0,Xiaomi Mi 11,Android,563.0,8.4,2849.0,85,1508,25.0,Male,5
267.0,iPhone 12,iOS,181.0,4.1,1608.0,43,752,22.0,Female,3
268.0,OnePlus 9,Android,584.0,9.4,2766.0,84,2151,32.0,Male,5
269.0,Samsung Galaxy S21,Android,208.0,4.7,1642.0,45,861,55.0,Male,3
270.0,Samsung Galaxy S21,Android,381.0,6.6,2160.0,69,1450,20.0,Male,4
271.0,Xiaomi Mi 11,Android,426.0,6.5,1969.0,78,1266,53.0,Female,4
272.0,,Android,284.0,,1360.0,56,888,51.0,Male,3
273.0,Google Pixel 5,Android,105.0,2.2,1002.0,29,453,31.0,Female,2
274.0,Google Pixel 5,Android,179.0,2.3,1014.0,32,588,38.0,Male,2
275.0,iPhone 12,iOS,122.0,2.6,639.0,37,568,35.0,Male,2
276.0,OnePlus 9,Android,501.0,11.9,2702.0,88,1738,49.0,Male,5
277.0,Xiaomi Mi 11,Android,269.0,5.9,1666.0,42,629,32.0,Female,3
278.0,Google Pixel 5,,230.0,4.4,1607.0,52,878,54.0,Male,3
279.0,Xiaomi Mi 11,Android,85.0,1.6,417.0,12,122,47.0,Male,1
280.0,Samsung Galaxy S21,Android,411.0,7.8,2029.0,75,1136,33.0,Female,4
281.0,Samsung Galaxy S21,Android,,1.7,403.0,12,163,51.0,Male,1
282.0,Xiaomi Mi 11,Android,39.0,1.7,530.0,11,268,26.0,Female,1
283.0,iPhone 12,iOS,386.0,7.7,2114.0,72,1209,51.0,Male,4
284.0,Google Pixel 5,Android,49.0,1.3,542.0,16,169,54.0,Female,1
285.0,Google Pixel 5,Android,411.0,6.9,1820.0,70,1024,43.0,Male,4
286.0,OnePlus 9,Android,534.0,10.8,2805.0,90,1538,37.0,Male,5
287.0,,Android,314.0,7.4,2136.0,64,1376,47.0,Female,4
288.0,Xiaomi Mi 11,Android,211.0,4.0,1519.0,54,811,29.0,Female,3
289.0,OnePlus 9,Android,121.0,3.7,619.0,36,473,47.0,Male,2
290.0,Google Pixel 5,Android,84.0,1.2,415.0,10,146,50.0,Male,1
291.0,OnePlus 9,Android,448.0,7.6,2199.0,66,1047,28.0,Male,4
292.0,Google Pixel 5,,55.0,1.6,360.0,19,149,30.0,Male,1
293.0,Google Pixel 5,Android,59.0,1.8,497.0,10,208,36.0,Female,1
294.0,Xiaomi Mi 11,Android,226.0,4.5,1781.0,45,649,27.0,Female,3
295.0,Samsung Galaxy S21,Android,580.0,8.5,2660.0,87,1795,52.0,Male,5
296.0,OnePlus 9,Android,65.0,1.8,481.0,18,130,41.0,Male,1
297.0,OnePlus 9,Android,458.0,6.6,2214.0,67,1163,31.0,Female,4
,iPhone 12,iOS,170.0,2.7,805.0,26,344,53.0,Female,2
299.0,iPhone 12,iOS,264.0,5.2,1641.0,44,778,44.0,Male,3
300.0,Xiaomi Mi 11,Android,122.0,3.3,748.0,35,499,59.0,Female,2
301.0,Xiaomi Mi 11,Android,420.0,6.5,164814.0,65,1314,35.0,Male,4
302.0,iPhone 12,iOS,,4.4,1505.0,59,971,38.0,Female,3
303.0,iPhone 12,iOS,469.0,6.0,2290.0,67,1086,34.0,Female,4
304.0,iPhone 12,iOS,541.0,11.4,2443.0,89,1923,34.0,Female,5
305.0,iPhone 12,iOS,155.0,2.9,1117.0,22,322,19.0,Female,2
306.0,OnePlus 9,Android,106.0,2.8,686.0,32,594,27.0,Male,2
307.0,OnePlus 9,Android,243.0,5.0,1232.0,47,877,43.0,Male,3
308.0,OnePlus 9,Android,410.0,7.5,2176.0,68,1213,45.0,Female,4
309.0,iPhone 12,iOS,285.0,5.1,1226.0,57,666,20.0,Female,3
310.0,OnePlus 9,Android,397.0,6.8,2027.0,66,1167,40.0,Male,4
311.0,Samsung Galaxy S21,Android,230.0,4.2,1507.0,51,868,25.0,Female,3
312.0,iPhone 12,iOS,341.0,7.2,2397.0,68,1055,32.0,Female,4
313.0,Google Pixel 5,Android,132.0,2.9,1054.0,32,563,20.0,Male,2
,Xiaomi Mi 11,Android,130.0,3.0,820.0,21,308,49.0,Female,2
315.0,iPhone 12,iOS,281.0,4.9,1566.0,59,632,29.0,Male,3
316.0,OnePlus 9,Android,74.0,2.0,320.0,11,103,55.0,Female,1
317.0,OnePlus 9,Android,299.0,4.3,1737.0,43,953,42.0,Female,3
318.0,Google Pixel 5,Android,116.0,2.2,827.0,29,434,28.0,Female,2
319.0,OnePlus 9,Android,408.0,6.6,2026.0,63,1076,47.0,Female,4
320.0,Google Pixel 5,Android,508.0,,2590.0,81,2481,51.0,Male,5
,iPhone 12,iOS,227.0,4.4,1275.0,56,984,22.0,Female,3
,Google Pixel 5,Android,274.0,6.0,1489.0,56,666,57.0,Female,3
323.0,Google Pixel 5,Android,347.0,6.3,2001.0,61,1456,21.0,Female,4
324.0,Xiaomi Mi 11,Android,76.0,1.3,490.0,14,156,31.0,Female,1
325.0,,iOS,445.0,7.5,2007.0,78,42370,23.0,Male,4
326.0,OnePlus 9,Android,203.0,4.3,1554.0,54,638,25.0,Female,3
327.0,Samsung Galaxy S21,Android,199.0,6.0,1707.0,57,881,55.0,Male,3
328.0,OnePlus 9,Android,,2.0,574.0,18,127,24.0,Female,1
329.0,OnePlus 9,Android,88.0,1.6,420.0,12,274,31.0,Female,1
